,DatasetName,Step,Threshold,Accuracy,Bruteforce time
0,1D83E3B,2,0.9656113866226446,0.9690721649484536,0.0065112113952636
0,1D83E3B,3,0.983765833142052,0.9484536082474226,0.0074982643127441
0,1D83E3B,4,1.0766919690255463,0.9381443298969072,0.0079705715179443
0,1D83E3B,5,0.9930902871188222,0.9270833333333334,0.0073621273040771
0,1D83E3B,11,0.9248194320550476,0.8947368421052632,0.0078182220458984
0,1D83E3B,8,1.4267876518226652,0.8854166666666666,0.0115001201629638
0,1D83E3B,7,0.6215833291001222,0.8645833333333334,0.0170762538909912
0,1D83E3B,10,0.8990202732748427,0.8631578947368421,0.007958173751831
0,1D83E3B,12,1.3106728084556882,0.8631578947368421,0.0084502696990966
0,1D83E3B,16,1.2278472865768335,0.8617021276595744,0.0094282627105712
0,1D83E3B,23,1.0376853857003354,0.8494623655913979,0.0098829269409179
0,1D83E3B,20,1.0161185634647123,0.8494623655913979,0.0156543254852294
0,1D83E3B,21,0.9845197257413454,0.8494623655913979,0.0121967792510986
0,1D83E3B,26,1.8760765137827289,0.8478260869565217,0.0090618133544921
0,1D83E3B,35,1.1207521957064868,0.8444444444444444,0.0110290050506591
0,1D83E3B,6,0.671573368216217,0.84375,0.0077219009399414
0,1D83E3B,13,1.2569615073079714,0.8421052631578947,0.0123934745788574
0,1D83E3B,19,1.3885590590692731,0.8404255319148937,0.00893235206604
0,1D83E3B,71,2.8943594773387584,0.8313253012048193,0.0138733386993408
0,1D83E3B,47,1.1093968353735786,0.8295454545454546,0.011995792388916
0,1D83E3B,49,1.630961271027071,0.8295454545454546,0.0107688903808593
0,1D83E3B,57,1.1994421527189687,0.8255813953488372,0.0129802227020263
0,1D83E3B,31,1.0628102049664525,0.8241758241758241,0.0104122161865234
0,1D83E3B,36,1.1352618197749558,0.8222222222222222,0.0154170989990234
0,1D83E3B,41,1.299872614478352,0.8202247191011236,0.0107903480529785
0,1D83E3B,18,1.2535117127645377,0.8191489361702128,0.0093376636505126
0,1D83E3B,33,1.3135605491149287,0.8131868131868132,0.0115480422973632
0,1D83E3B,34,5.004082095925754,0.8131868131868132,0.0101034641265869
0,1D83E3B,9,1.0926232881522544,0.8125,0.0114862918853759
0,1D83E3B,24,1.044073569898035,0.8064516129032258,0.0130016803741455
0,1D83E3B,25,1.3621596358296828,0.8043478260869565,0.0185048580169677
0,1D83E3B,29,0.8412329086738516,0.8043478260869565,0.0098264217376708
0,1D83E3B,28,1.144139649596026,0.8043478260869565,0.0122218132019042
0,1D83E3B,58,2.851641247255773,0.8023255813953488,0.0102150440216064
0,1D83E3B,61,1.35008099498495,0.8,0.0118498802185058
0,1D83E3B,43,1.1737049081226332,0.797752808988764,0.0114507675170898
0,1D83E3B,17,0.8859193430814276,0.7872340425531915,0.0140299797058105
0,1D83E3B,15,1.071229242474093,0.776595744680851,0.010991096496582
0,1D83E3B,37,2.238689305923758,0.7555555555555555,0.0106074810028076
0,1D83E3B,14,1.325823244105142,0.6210526315789474,0.0131824016571044
0,1D83E3B,27,3.0207094124133627,0.6086956521739131,0.0215728282928466
0,1D83E3B,44,3.2849508570110726,0.6067415730337079,0.0136024951934814
0,1D83E3B,30,2.234052510344165,0.6043956043956044,0.0135257244110107
0,1D83E3B,63,1.7424634833459047,0.6,0.0121712684631347
0,1D83E3B,22,1.2988249764149655,0.5913978494623656,0.0144569873809814
0,1D83E3B,76,1.7161072730825773,0.5365853658536586,0.0117812156677246
