,threshold,accuracy
110,1.0535270016929035,0.9006622516556292
104,0.7727795230079926,0.9006622516556292
108,0.9503978539365588,0.9006622516556292
109,1.0518033566494522,0.8940397350993378
103,0.738074962798721,0.8940397350993378
105,0.8587919934607985,0.8940397350993378
107,0.9233548191022827,0.8940397350993378
111,1.0718025771387718,0.8940397350993378
112,1.1495002616540135,0.8874172185430463
102,0.732731604257204,0.8874172185430463
106,0.8901412612471942,0.8874172185430463
113,1.2070458187727122,0.8807947019867549
101,0.7320842930440701,0.8807947019867549
116,1.4234678355774735,0.8741721854304636
100,0.7310802001154345,0.8741721854304636
114,1.3662927241928349,0.8741721854304636
118,1.4708338049381162,0.8741721854304636
119,1.4709581446783002,0.8675496688741722
117,1.4524318776426313,0.8675496688741722
99,0.7254599898953202,0.8675496688741722
115,1.4221935002556372,0.8675496688741722
124,1.8654471381136335,0.8609271523178808
120,1.5543351772616083,0.8609271523178808
98,0.7241590920855243,0.8609271523178808
125,1.8739478718881373,0.8543046357615894
123,1.858498277199607,0.8543046357615894
121,1.5990483957817645,0.8543046357615894
97,0.7171206564926231,0.8543046357615894
96,0.7117600619578659,0.847682119205298
122,1.747684325456175,0.847682119205298
95,0.7101810844718202,0.8410596026490066
126,2.121468801362996,0.8410596026490066
127,2.1216959606666914,0.8344370860927153
94,0.708329441162566,0.8344370860927153
93,0.6962415567137471,0.8278145695364238
128,2.1301550288239666,0.8278145695364238
129,2.138643117186125,0.8211920529801324
92,0.6840559619733732,0.8211920529801324
91,0.6828816026930233,0.8145695364238411
130,2.162050134616682,0.8145695364238411
90,0.6754149327698972,0.8079470198675497
131,2.1725891514787663,0.8079470198675497
132,2.202623388959357,0.8013245033112583
89,0.6704257449839638,0.8013245033112583
88,0.6621335275501158,0.7947019867549668
133,2.2186198332017284,0.7947019867549668
87,0.6505491121763569,0.7880794701986755
134,2.37885047037465,0.7880794701986755
86,0.6501899211480302,0.7814569536423841
135,2.4006329175239935,0.7814569536423841
85,0.6423814280505741,0.7748344370860927
81,0.6251232793634747,0.7748344370860927
136,2.4326816116822187,0.7748344370860927
84,0.641882431364666,0.7682119205298014
137,2.629741935471249,0.7682119205298014
80,0.624959685091432,0.7682119205298014
83,0.6383938509762095,0.7615894039735099
79,0.6245010626356431,0.7615894039735099
138,2.780387045063538,0.7615894039735099
82,0.633315556335045,0.7549668874172185
78,0.6200565494852831,0.7549668874172185
139,2.796483430168778,0.7549668874172185
140,2.7987387255473175,0.7483443708609272
77,0.6128909575174458,0.7483443708609272
