,DatasetName,Step,Threshold,Accuracy,Bruteforce time
0,14241B3,2,1.1850466157589126,0.9695121951219512,0.0205974578857421
0,14241B3,27,73856.46122419796,0.9622641509433962,0.0124673843383789
0,14241B3,4,1.5377126966049692,0.951219512195122,0.0226223468780517
0,14241B3,5,0.7647038736209123,0.945121951219512,0.0326168537139892
0,14241B3,6,1.1824301648249165,0.9447852760736196,0.0240070819854736
0,14241B3,8,0.6358785313009195,0.9325153374233128,0.0174503326416015
0,14241B3,11,0.9465345045679114,0.9320987654320988,0.0261330604553222
0,14241B3,3,0.6331990450449482,0.926829268292683,0.0226426124572753
0,14241B3,7,0.684662037258407,0.9202453987730062,0.022662878036499
0,14241B3,9,0.6337985478833388,0.9141104294478528,0.0232608318328857
0,14241B3,18,0.6527663005838167,0.9130434782608696,0.0304400920867919
0,14241B3,23,1.279390219706384,0.9125,0.0156905651092529
0,14241B3,10,0.7661378485832638,0.9079754601226994,0.0232179164886474
0,14241B3,20,1.2324763028841994,0.906832298136646,0.0267069339752197
0,14241B3,29,0.9266127404913632,0.9056603773584906,0.0195167064666748
0,14241B3,26,0.8820619570891103,0.9056603773584906,0.0258433818817138
0,14241B3,13,0.8726415711512817,0.9012345679012346,0.0181245803833007
0,14241B3,22,1.364954593602456,0.9,0.0238280296325683
0,14241B3,14,1.1886118843045317,0.8950617283950617,0.0225715637207031
0,14241B3,21,1.2977082257388262,0.8875,0.0258622169494628
0,14241B3,12,1.42352251381758,0.8827160493827161,0.0279006958007812
0,14241B3,16,0.9288279875852868,0.8819875776397516,0.0235719680786132
0,14241B3,19,0.9853190074251752,0.8819875776397516,0.026947021484375
0,14241B3,15,0.6281602249002602,0.8703703703703703,0.0253729820251464
0,14241B3,25,0.7571523100801452,0.86875,0.0184166431427001
0,14241B3,33,0.7000916689966926,0.8670886075949367,0.0221443176269531
0,14241B3,34,0.6327023616946297,0.8670886075949367,0.0200233459472656
0,14241B3,35,0.9520968838088332,0.8670886075949367,0.0147764682769775
0,14241B3,28,1.285494593632612,0.8616352201257862,0.0224819183349609
0,14241B3,31,1.827498427106188,0.8607594936708861,0.0127816200256347
0,14241B3,32,1.487915998019242,0.8544303797468354,0.0153117179870605
0,14241B3,37,0.6371468601706664,0.8535031847133758,0.0280179977416992
0,14241B3,17,0.9151602675824262,0.8509316770186336,0.0261168479919433
0,14241B3,36,0.925594075103914,0.8471337579617835,0.0200567245483398
0,14241B3,44,1.599362631900683,0.8397435897435898,0.0231142044067382
0,14241B3,45,1.1977695660482803,0.8397435897435898,0.0199348926544189
0,14241B3,46,0.9685370991146584,0.832258064516129,0.0212299823760986
0,14241B3,59,0.9382219274184902,0.8235294117647058,0.0221173763275146
0,14241B3,40,2.5520036978046816,0.8152866242038217,0.0149052143096923
0,14241B3,50,1.3806136626204522,0.8129032258064516,0.0235097408294677
0,14241B3,48,1.619752331350691,0.8064516129032258,0.0208573341369628
0,14241B3,39,417.6648897016668,0.802547770700637,0.0247251987457275
0,14241B3,24,6.123403735815032,0.70625,0.0327587127685546
0,14241B3,41,1.4422060814569944,0.6730769230769231,0.0251722335815429
0,14241B3,30,1.4893309655469351,0.6477987421383647,0.0242466926574707
