,DatasetName,Step,Threshold,Accuracy,Bruteforce time
0,1D85584,23,1652.9979655318634,0.9683544303797468,0.0127153396606445
0,1D85584,4,2.0218955707971027,0.9197530864197532,0.0168578624725341
0,1D85584,3,0.5890364799117889,0.9074074074074074,0.0227656364440917
0,1D85584,2,0.5846965245382039,0.9012345679012346,0.0170350074768066
0,1D85584,5,1.5960503536584494,0.9006211180124224,0.0194559097290039
0,1D85584,13,0.5266624598090084,0.9,0.0151677131652832
0,1D85584,6,0.5791138294796846,0.8819875776397516,0.0199723243713378
0,1D85584,18,1.6220925128528814,0.8742138364779874,0.021205186843872
0,1D85584,7,1.7197941605849656,0.8633540372670807,0.0204277038574218
0,1D85584,9,0.5741553973042783,0.8509316770186336,0.0199625492095947
0,1D85584,10,0.7001411435270324,0.85,0.0161967277526855
0,1D85584,25,0.7260641998192124,0.8407643312101911,0.0281450748443603
0,1D85584,29,0.5424529738308226,0.8343949044585988,0.0243518352508544
0,1D85584,11,0.6296383065755623,0.83125,0.0179693698883056
0,1D85584,14,0.5699670074478027,0.83125,0.0288467407226562
0,1D85584,15,1.0322789296667363,0.8301886792452831,0.0240838527679443
0,1D85584,24,1.3990964699517623,0.8291139240506329,0.0225822925567626
0,1D85584,8,1.5422680699100817,0.8198757763975155,0.0335171222686767
0,1D85584,19,1.3514720434402578,0.8176100628930818,0.0281894207000732
0,1D85584,17,1.0381233254343316,0.8176100628930818,0.0207417011260986
0,1D85584,21,0.9710891428472556,0.8164556962025317,0.0274553298950195
0,1D85584,28,0.5580841324001964,0.8152866242038217,0.0244715213775634
0,1D85584,12,0.827090784038608,0.8125,0.0260744094848632
0,1D85584,20,0.5506115379734214,0.8037974683544303,0.0319836139678955
0,1D85584,69,5.216150936331582,0.7986577181208053,0.0232880115509033
0,1D85584,22,0.5476755639147355,0.7974683544303798,0.0326817035675048
0,1D85584,64,1.9681168623247127,0.7933333333333333,0.0234014987945556
0,1D85584,16,2.288935777556893,0.7924528301886793,0.0211386680603027
0,1D85584,26,1.2844922587479215,0.7898089171974523,0.0151393413543701
0,1D85584,27,0.5203210160625348,0.7834394904458599,0.0261547565460205
0,1D85584,57,1.9207934103050333,0.7549668874172185,0.0268175601959228
0,1D85584,68,3.1264432261736004,0.7516778523489933,0.0227150917053222
0,1D85584,39,1.934336530399096,0.7483870967741936,0.0208621025085449
0,1D85584,51,0.7805780839657057,0.743421052631579,0.0170803070068359
0,1D85584,59,1.75146259595013,0.7350993377483444,0.0250141620635986
0,1D85584,41,0.9590889456078826,0.7337662337662337,0.0241384506225585
0,1D85584,42,1.0777887153827737,0.7272727272727273,0.0266730785369873
0,1D85584,35,382.08454606126816,0.7161290322580646,0.0407989025115966
0,1D85584,52,1.59199826046149,0.7105263157894737,0.0324902534484863
0,1D85584,56,1.4710200256641823,0.7086092715231788,0.0239810943603515
0,1D85584,47,3.505393615830476,0.6993464052287581,0.0199382305145263
0,1D85584,48,2.7453819469835623,0.6993464052287581,0.0190625190734863
0,1D85584,38,8.358417903200676,0.6580645161290323,0.0256142616271972
0,1D85584,32,701712.1544786385,0.6217948717948718,0.02030611038208
0,1D85584,30,7.697870445002712,0.6217948717948718,0.0240406990051269
