,threshold,accuracy
39,0.7285959032233682,0.8444444444444444
40,0.7410142093593407,0.84
38,0.7245754442739655,0.84
36,0.721441956609569,0.84
35,0.7211633510100364,0.8355555555555556
25,0.6723207701828497,0.8355555555555556
41,0.749739827493714,0.8355555555555556
37,0.7223261262607032,0.8355555555555556
26,0.6751385097967073,0.8311111111111111
42,0.7512506087702754,0.8311111111111111
24,0.6722944287173253,0.8311111111111111
34,0.7210219732599602,0.8311111111111111
33,0.7209644664546607,0.8266666666666667
27,0.6770631389490241,0.8266666666666667
43,0.7590248977982199,0.8266666666666667
23,0.6686799342987643,0.8266666666666667
32,0.7148532956334749,0.8222222222222222
28,0.6782987536248385,0.8222222222222222
44,0.7651820018231545,0.8222222222222222
20,0.6592801149155094,0.8222222222222222
22,0.6678508780649892,0.8222222222222222
31,0.7008032418609802,0.8177777777777778
45,0.7731743133195961,0.8177777777777778
49,0.7820068972172269,0.8177777777777778
29,0.6982201525555323,0.8177777777777778
21,0.660733700137885,0.8177777777777778
17,0.623245214678056,0.8177777777777778
19,0.6572562551882171,0.8177777777777778
61,0.8129774306595219,0.8177777777777778
18,0.6379408963304396,0.8133333333333334
16,0.6229278577661576,0.8133333333333334
46,0.7732690696066876,0.8133333333333334
50,0.7836795456518744,0.8133333333333334
56,0.7911061838344349,0.8133333333333334
48,0.7817503986008285,0.8133333333333334
62,0.8203093283393262,0.8133333333333334
30,0.698221186985896,0.8133333333333334
60,0.8119501007602841,0.8133333333333334
59,0.8110553900882599,0.8088888888888889
51,0.7840954310483974,0.8088888888888889
63,0.8215244129598979,0.8088888888888889
53,0.7890816797956607,0.8088888888888889
55,0.7902940458320215,0.8088888888888889
57,0.7967112100392084,0.8088888888888889
15,0.6205883836006784,0.8088888888888889
47,0.7781524741178979,0.8088888888888889
52,0.7855353417947534,0.8044444444444444
54,0.7892469749280406,0.8044444444444444
58,0.8050532668522694,0.8044444444444444
66,0.8318986193187539,0.8044444444444444
64,0.8290526337994487,0.8044444444444444
14,0.6173002106246679,0.8044444444444444
65,0.8292151879241844,0.8
13,0.5986830922538974,0.8
67,0.8370702492955718,0.8
70,0.8519341362092685,0.7955555555555556
68,0.8453397031012533,0.7955555555555556
12,0.5977242080679722,0.7955555555555556
71,0.8531674741624127,0.7911111111111111
69,0.8509437588830883,0.7911111111111111
11,0.597572094628516,0.7911111111111111
10,0.5963273785944694,0.7866666666666666
72,0.8539750444784966,0.7866666666666666
73,0.8599630574280132,0.7822222222222223
9,0.5952536826727253,0.7822222222222223
74,0.8670330419431325,0.7777777777777778
8,0.594788180787291,0.7777777777777778
76,0.8695796292433439,0.7777777777777778
7,0.5942031841821157,0.7733333333333333
77,0.8737403772514564,0.7733333333333333
75,0.8690231806642472,0.7733333333333333
6,0.5938708077318229,0.7688888888888888
78,0.8754687129710511,0.7688888888888888
79,0.8762893538997105,0.7644444444444445
3,0.5872590910179225,0.7644444444444445
5,0.5891348811591285,0.7644444444444445
2,0.5826572731184955,0.76
84,0.879214473950925,0.76
4,0.5890455131087228,0.76
80,0.8765546432376935,0.76
83,0.8781481747658915,0.7555555555555555
85,0.8801026371695215,0.7555555555555555
81,0.8770100559067862,0.7555555555555555
1,0.5819963949443844,0.7555555555555555
88,0.8933074686695744,0.7511111111111111
86,0.8837931255504557,0.7511111111111111
0,0.5808959650380319,0.7511111111111111
82,0.877021267121472,0.7511111111111111
87,0.8843548049657767,0.7466666666666667
89,0.8940362913021386,0.7466666666666667
90,0.8959905795892693,0.7422222222222222
91,0.8968346073379679,0.7377777777777778
92,0.900486504992532,0.7333333333333333
94,0.9060836776993386,0.7333333333333333
93,0.903454447504624,0.7288888888888889
95,0.9068111242621866,0.7288888888888889
96,0.908925689149083,0.7244444444444444
97,0.9098243482992389,0.72
99,0.9156695505884436,0.72
98,0.9129088936975229,0.7155555555555555
100,0.9179776308688512,0.7155555555555555
101,0.9180554986986502,0.7111111111111111
102,0.9185647559301768,0.7066666666666667
103,0.9188233870694215,0.7022222222222222
104,0.9193749444531724,0.6977777777777778
106,0.9210357628599386,0.6977777777777778
105,0.9196690952334389,0.6933333333333334
107,0.9221148575048872,0.6933333333333334
108,0.9221981191720099,0.6888888888888889
109,0.9401758478119626,0.6844444444444444
111,1.0017032308221379,0.6844444444444444
125,3.080352991911708,0.6844444444444444
110,0.9440957656159686,0.68
112,1.572389356298917,0.68
126,3.09432315857892,0.68
124,3.079600724675894,0.68
122,2.8557099239286234,0.68
121,2.657055994735383,0.6755555555555556
127,3.2616982630034523,0.6755555555555556
123,3.0780405930708863,0.6755555555555556
113,2.0133221119288987,0.6755555555555556
120,2.65417269164577,0.6711111111111111
118,2.4117030143869145,0.6711111111111111
114,2.062784984684952,0.6711111111111111
128,3.451362361797401,0.6711111111111111
129,3.858531228444171,0.6666666666666666
117,2.386741415855344,0.6666666666666666
119,2.478970872510503,0.6666666666666666
115,2.065687860285892,0.6666666666666666
130,3.863991666966058,0.6622222222222223
116,2.192712047891508,0.6622222222222223
131,3.8705208747644066,0.6577777777777778
132,3.871171842929553,0.6533333333333333
133,3.873260912898298,0.6488888888888888
134,3.8739322123146387,0.6444444444444445
135,3.874644697152288,0.64
136,3.892566621056663,0.6355555555555555
137,3.8943011805417864,0.6311111111111111
138,3.8977705518982058,0.6266666666666667
