,DatasetName,Step,Threshold,Accuracy,Bruteforce time
0,1424216,2,1.0628899024016736,0.9344262295081968,0.1339726448059082
0,1424216,3,1.042847228963956,0.9245901639344264,0.1931934356689453
0,1424216,4,1.1924156287216234,0.8939890710382513,0.2420456409454345
0,1424216,5,1.0527275720479286,0.8841530054644808,0.322413682937622
0,1424216,6,1.040834431984888,0.8818380743982495,0.2632808685302734
0,1424216,7,1.0171102138203176,0.8687089715536105,0.5602192878723145
0,1424216,9,1.031441439838504,0.8577680525164114,0.2756979465484619
0,1424216,8,1.0374956066860646,0.8533916849015317,0.2612147331237793
0,1424216,10,1.0803116682607556,0.8512035010940919,0.3370118141174316
0,1424216,13,1.147283654519382,0.8499452354874042,0.2916436195373535
0,1424216,19,1.0778972398608897,0.8366228070175439,0.3110389709472656
0,1424216,20,1.1523460051781318,0.8355263157894737,0.5510580539703369
0,1424216,11,1.137566245744044,0.8346111719605696,0.2698957920074463
0,1424216,16,1.1777518880590234,0.8245614035087719,0.2891695499420166
0,1424216,12,1.1163265004511052,0.8203723986856517,0.2452931404113769
0,1424216,14,1.049456366870695,0.8192771084337349,0.3066880702972412
0,1424216,18,1.0941855907496931,0.819078947368421,0.335324764251709
0,1424216,30,1.096451086179017,0.8175824175824176,0.3040015697479248
0,1424216,15,1.1531353674415472,0.8159912376779846,0.5363931655883789
0,1424216,22,1.1048057267108382,0.814489571899012,0.288048505783081
0,1424216,26,1.085874622197014,0.8120879120879121,0.3144433498382568
0,1424216,23,1.0850113423645924,0.8046103183315039,0.2955803871154785
0,1424216,21,1.0929478298278243,0.8024149286498353,0.2982435226440429
0,1424216,17,1.0893441794220349,0.7993421052631579,0.3444404602050781
0,1424216,35,1.101230087768987,0.7964796479647965,0.3317224979400635
0,1424216,40,1.1259754995988505,0.7951541850220264,0.3196516036987304
0,1424216,42,1.112369883245557,0.7938257993384785,0.3274667263031006
0,1424216,27,1.0369892353358885,0.7934065934065934,0.3178486824035644
0,1424216,71,1.1454870478837116,0.7902330743618202,0.3364405632019043
0,1424216,39,1.09477748372284,0.789647577092511,0.5833327770233154
0,1424216,37,1.1061688525393154,0.7874449339207048,0.3581223487854004
0,1424216,46,1.1280326861340724,0.7858719646799117,0.3208065032958984
0,1424216,31,1.0233394796727604,0.7854785478547854,0.3321626186370849
0,1424216,36,1.0242151333291205,0.7852422907488987,0.5844178199768066
0,1424216,28,1.1626527496240446,0.7758241758241758,0.274266242980957
0,1424216,58,1.9124219236322983,0.7754424778761062,0.2929458618164062
0,1424216,38,1.0546293989355815,0.7709251101321586,0.2878530025482178
0,1424216,54,1.044751108106212,0.7668508287292818,0.2764687538146972
0,1424216,41,1.6593353328142173,0.7596471885336273,0.2926061153411865
0,1424216,70,1.028314424506221,0.7594235033259423,0.3919494152069092
0,1424216,57,2.17245104910208,0.5896017699115044,0.3338949680328369
0,1424216,51,2.554927705373551,0.5657458563535912,0.3488326072692871
