,DatasetName,Step,Threshold,Accuracy,Bruteforce time
0,1D82C4C,5,0.7727795230079926,0.9006622516556292,0.0234277248382568
0,1D82C4C,2,0.78345164160862,0.8940397350993378,0.0232625007629394
0,1D82C4C,6,0.8327996084253941,0.8940397350993378,0.0322504043579101
0,1D82C4C,9,0.733983363073916,0.88,0.0304784774780273
0,1D82C4C,19,0.9207429590650548,0.8783783783783784,0.0125772953033447
0,1D82C4C,3,0.7864195220318582,0.8741721854304636,0.0260615348815917
0,1D82C4C,17,0.6638110199049168,0.8716216216216216,0.0233395099639892
0,1D82C4C,18,0.7143387700454863,0.8716216216216216,0.022937536239624
0,1D82C4C,38,0.8458989414436108,0.8680555555555556,0.0265290737152099
0,1D82C4C,4,0.7321915154447509,0.8675496688741722,0.0374760627746582
0,1D82C4C,7,0.7861853939036905,0.8666666666666667,0.0292983055114746
0,1D82C4C,10,0.7272388087494195,0.8666666666666667,0.0239129066467285
0,1D82C4C,11,0.7717071266765229,0.8666666666666667,0.0276322364807128
0,1D82C4C,16,0.6885711875512011,0.8657718120805369,0.0265007019042968
0,1D82C4C,21,0.7254250212286613,0.8648648648648649,0.0237236022949218
0,1D82C4C,25,1.4965075001834505,0.8639455782312925,0.0346598625183105
0,1D82C4C,14,0.736602124627168,0.8590604026845637,0.025266408920288
0,1D82C4C,8,0.7279894080403065,0.8533333333333334,0.03336763381958
0,1D82C4C,22,1.0853130481229722,0.8503401360544217,0.0236656665802001
0,1D82C4C,28,0.649336926980923,0.8493150684931506,0.0225615501403808
0,1D82C4C,29,0.5842324591169213,0.8493150684931506,0.0124750137329101
0,1D82C4C,33,0.7350501242018516,0.8482758620689655,0.0430583953857421
0,1D82C4C,12,0.8177333935192025,0.8456375838926175,0.0295100212097167
0,1D82C4C,23,1.4451027734865256,0.8435374149659864,0.0235276222229003
0,1D82C4C,41,0.6565361811244927,0.8402777777777778,0.0231688022613525
0,1D82C4C,26,3.695891950405371,0.8299319727891157,0.0222556591033935
0,1D82C4C,15,1.7412844698114052,0.825503355704698,0.0247151851654052
0,1D82C4C,13,0.7299239232217529,0.825503355704698,0.02113938331604
0,1D82C4C,27,0.4000287956766803,0.821917808219178,0.0238595008850097
0,1D82C4C,20,0.7285241778066729,0.8175675675675675,0.0298657417297363
0,1D82C4C,37,0.6501888535463343,0.8055555555555556,0.0241651535034179
0,1D82C4C,39,0.6660102997148283,0.8055555555555556,0.0222370624542236
0,1D82C4C,46,0.7769999966529373,0.7972027972027972,0.0239646434783935
0,1D82C4C,31,0.6748459850278163,0.7945205479452054,0.0313374996185302
0,1D82C4C,62,0.9494910966695836,0.7913669064748201,0.0220837593078613
0,1D82C4C,66,1.382502438030612,0.7913669064748201,0.0156319141387939
0,1D82C4C,61,1.161361285875155,0.7857142857142857,0.0231921672821044
0,1D82C4C,71,2.3459165416612016,0.782608695652174,0.0154807567596435
0,1D82C4C,54,0.6614311810720493,0.7588652482269503,0.0226950645446777
0,1D82C4C,51,0.9729384738265736,0.7464788732394366,0.0205545425415039
0,1D82C4C,55,5.649778592097173,0.7446808510638298,0.024627685546875
0,1D82C4C,47,2.0782860479644,0.7323943661971831,0.0320572853088378
0,1D82C4C,24,2.1287407409686883,0.7210884353741497,0.024658203125
0,1D82C4C,34,21016.90949610366,0.7172413793103448,0.0225772857666015
0,1D82C4C,35,2.8157516633257,0.6206896551724138,0.0258021354675292
0,1D82C4C,43,103573.9398483273,0.6013986013986014,0.0273911952972412
