,DatasetName,Step,Threshold,Accuracy,Bruteforce time
0,1D875DD,5,1.3385556788056303,0.988095238095238,0.007739782333374
0,1D875DD,2,1.1919807311758364,0.9821428571428572,0.0069012641906738
0,1D875DD,4,0.867210456071561,0.9821428571428572,0.0087838172912597
0,1D875DD,6,0.7369408507240469,0.9820359281437124,0.0083749294281005
0,1D875DD,8,1.3845250468740284,0.9820359281437124,0.0101926326751708
0,1D875DD,18,0.6727316369669638,0.9818181818181818,0.011406660079956
0,1D875DD,21,0.5891017895517733,0.9817073170731708,0.0141708850860595
0,1D875DD,3,1.426287028055303,0.9761904761904762,0.0139062404632568
0,1D875DD,11,1.1402811203873382,0.9759036144578314,0.0141844749450683
0,1D875DD,29,1.274835935158555,0.9754601226993864,0.011927843093872
0,1D875DD,7,1.5045615837948856,0.9700598802395208,0.0155761241912841
0,1D875DD,24,1.432394463742268,0.9695121951219512,0.0149075984954833
0,1D875DD,26,1.4682763855713372,0.9693251533742332,0.012160301208496
0,1D875DD,31,1.1192413909548564,0.9691358024691358,0.011547565460205
0,1D875DD,43,1.5770653924682034,0.96875,0.0133607387542724
0,1D875DD,9,0.6710937843332285,0.9640718562874252,0.0107898712158203
0,1D875DD,13,1.4706697283172083,0.963855421686747,0.0154402256011962
0,1D875DD,16,1.5493207449470243,0.9636363636363636,0.0160660743713378
0,1D875DD,17,0.6000651619267404,0.9636363636363636,0.0129921436309814
0,1D875DD,19,0.5982456887763977,0.9636363636363636,0.0095820426940917
0,1D875DD,22,1.3946010074132362,0.9634146341463414,0.0128359794616699
0,1D875DD,23,0.940397321629549,0.9634146341463414,0.0118954181671142
0,1D875DD,27,1.2326652090133237,0.9631901840490796,0.011584997177124
0,1D875DD,37,1.4458960025230476,0.9627329192546584,0.0148591995239257
0,1D875DD,41,1.353114797660704,0.9625,0.0148613452911376
0,1D875DD,57,1.1948212053432177,0.961783439490446,0.013141393661499
0,1D875DD,61,1.5776011498199314,0.9615384615384616,0.0148348808288574
0,1D875DD,15,0.706346672011028,0.9578313253012049,0.025707721710205
0,1D875DD,14,1.5009977623469164,0.9578313253012049,0.01412034034729
0,1D875DD,20,0.5090818270624867,0.9575757575757576,0.0119185447692871
0,1D875DD,25,1.4536764634213768,0.9573170731707316,0.0140461921691894
0,1D875DD,12,0.636713981068251,0.9518072289156626,0.0127172470092773
0,1D875DD,35,1.1502917469591207,0.9506172839506172,0.0122711658477783
0,1D875DD,36,1.4737601536520206,0.9503105590062112,0.0150458812713623
0,1D875DD,10,1.341382399125964,0.9461077844311376,0.011512279510498
0,1D875DD,59,1.4515224505545838,0.9426751592356688,0.0153532028198242
0,1D875DD,68,1.6479944318107638,0.9419354838709676,0.0143444538116455
0,1D875DD,69,1.3649454468562818,0.9419354838709676,0.0150635242462158
0,1D875DD,74,1.6338205607582708,0.9415584415584416,0.0178277492523193
0,1D875DD,52,264525.1033291748,0.930379746835443,0.0267980098724365
0,1D875DD,42,6.1599456467951725,0.925,0.0249152183532714
0,1D875DD,50,1.246026936157834,0.9245283018867924,0.016733169555664
0,1D875DD,47,429639285862003.6,0.9056603773584906,0.0119867324829101
0,1D875DD,32,4.910513332777147,0.8827160493827161,0.0246503353118896
0,1D875DD,45,2.167552287380192,0.73125,0.0241615772247314
0,1D875DD,33,3.138098871699704,0.7160493827160493,0.0240218639373779
0,1D875DD,28,1.9471773011802032,0.6993865030674846,0.0226082801818847
0,1D875DD,38,96973.93195927584,0.6894409937888198,0.028066873550415
0,1D875DD,54,1.7635199507073889,0.6772151898734177,0.025801658630371
