,threshold,accuracy
78,1.7424634833459047,0.6
77,1.7421483854299782,0.5882352941176471
76,1.7421411657131918,0.5764705882352941
75,1.7421402455560773,0.5647058823529412
74,1.7421401927637743,0.5529411764705883
73,1.7421401730014023,0.5411764705882353
72,1.7421401655996551,0.5294117647058824
71,1.7407882722320944,0.5176470588235295
70,1.738549949686135,0.5058823529411764
69,1.7385499496861347,0.4588235294117647
68,1.7343562957587086,0.43529411764705883
67,1.7332347498721599,0.4235294117647059
66,1.7233936428170045,0.4117647058823529
0,0.7910624979680339,0.4117647058823529
1,0.7911854387810745,0.4
65,1.719926929446073,0.4
2,0.791380065774551,0.38823529411764707
64,1.4686479603185918,0.38823529411764707
3,0.7945106794214628,0.3764705882352941
63,1.4662491213465974,0.3764705882352941
62,1.4643481612729248,0.36470588235294116
4,0.795144659859459,0.36470588235294116
7,0.8078072098488739,0.35294117647058826
5,0.7988743788716014,0.35294117647058826
61,1.454698829013393,0.35294117647058826
8,0.8120923476807191,0.3411764705882353
58,1.3702358126725285,0.3411764705882353
56,1.3516966090383977,0.3411764705882353
6,0.8061643278804462,0.3411764705882353
60,1.44845456736874,0.3411764705882353
9,0.8524571508978225,0.32941176470588235
55,1.340894591046508,0.32941176470588235
53,1.3358202685901897,0.32941176470588235
57,1.3617353288213143,0.32941176470588235
59,1.3825467950882375,0.32941176470588235
54,1.3370355123169508,0.3176470588235294
52,1.3336094081982424,0.3176470588235294
50,1.3304103047449014,0.3176470588235294
10,0.8531746539526402,0.3176470588235294
49,1.3270376586283579,0.3058823529411765
51,1.3319449930616465,0.3058823529411765
47,1.3244558485191402,0.3058823529411765
11,0.8552373635651425,0.3058823529411765
48,1.3261567772636575,0.29411764705882354
12,0.8658551631317096,0.29411764705882354
46,1.3149900074613134,0.29411764705882354
13,0.9410472298788181,0.2823529411764706
45,1.3089921126234876,0.2823529411764706
14,0.9439584048682363,0.27058823529411763
44,1.3049247769597911,0.27058823529411763
15,0.9442177649910802,0.25882352941176473
43,1.2959719311008677,0.25882352941176473
17,0.9466080956679093,0.25882352941176473
42,1.1902330604660687,0.24705882352941178
16,0.9444082091923454,0.24705882352941178
40,1.1763272153847095,0.24705882352941178
38,1.148333959838068,0.24705882352941178
18,0.9602941570683414,0.24705882352941178
19,0.9613316547831122,0.23529411764705882
25,1.038980956275886,0.23529411764705882
27,1.0482541495641993,0.23529411764705882
39,1.159271256739205,0.23529411764705882
41,1.1801743757731602,0.23529411764705882
37,1.1258892624892236,0.23529411764705882
35,1.1035260848906157,0.23529411764705882
20,0.9673536622386937,0.2235294117647059
28,1.059583644470695,0.2235294117647059
26,1.0408194149153143,0.2235294117647059
34,1.0919047525135328,0.2235294117647059
24,1.0174851861740728,0.2235294117647059
30,1.0614746477878634,0.2235294117647059
36,1.1196512086789094,0.2235294117647059
31,1.0803422433944554,0.21176470588235294
23,1.0174810437157646,0.21176470588235294
21,0.9862756261843744,0.21176470588235294
33,1.0913781838405368,0.21176470588235294
29,1.0604023030506333,0.21176470588235294
22,0.987746743216749,0.2
32,1.0814209720280545,0.2
