,threshold,accuracy
63,0.8101135973682458,0.7309417040358744
79,0.8477776887614371,0.7309417040358744
115,2.4180577884136234,0.7309417040358744
114,2.308849988636453,0.726457399103139
62,0.8097900108627465,0.726457399103139
116,2.63130904775958,0.726457399103139
64,0.8125862948573778,0.726457399103139
118,2.719555124463058,0.726457399103139
78,0.8452223989563151,0.726457399103139
80,0.8499438711394627,0.726457399103139
15,0.6953700472547881,0.7219730941704036
61,0.8096019889676488,0.7219730941704036
65,0.8131355633724919,0.7219730941704036
77,0.8437714941304166,0.7219730941704036
81,0.8509641528029995,0.7219730941704036
117,2.706450236985432,0.7219730941704036
113,2.0973309910293234,0.7219730941704036
119,2.813169256008492,0.7219730941704036
14,0.6903178678601882,0.7174887892376681
82,0.852879354117009,0.7174887892376681
60,0.8088783374910925,0.7174887892376681
112,1.587227689078291,0.7174887892376681
120,2.8134255773310826,0.7174887892376681
22,0.7371777125712404,0.7174887892376681
76,0.842762914085449,0.7174887892376681
16,0.7003907448719072,0.7174887892376681
66,0.8144134185522768,0.7174887892376681
111,1.5860506830387708,0.7130044843049327
75,0.8413523917831409,0.7130044843049327
67,0.8146322116260016,0.7130044843049327
121,2.8144506861778193,0.7130044843049327
123,2.8277282388727505,0.7130044843049327
83,0.8530036269130886,0.7130044843049327
59,0.8085305445011582,0.7130044843049327
69,0.8165571159476802,0.7130044843049327
57,0.805777983895934,0.7130044843049327
21,0.7315345576206222,0.7130044843049327
25,0.7467947574106164,0.7130044843049327
13,0.6865127482957739,0.7130044843049327
17,0.7027434514214623,0.7130044843049327
23,0.7440150484393261,0.7130044843049327
26,0.7475704610631198,0.7085201793721974
68,0.8149989807134866,0.7085201793721974
70,0.8300991145869752,0.7085201793721974
72,0.8315135647113306,0.7085201793721974
74,0.8396846002681555,0.7085201793721974
18,0.7037469750531882,0.7085201793721974
20,0.7285784847256211,0.7085201793721974
56,0.8027152013622362,0.7085201793721974
12,0.6858351523410288,0.7085201793721974
84,0.8532474043928547,0.7085201793721974
90,0.869249177843919,0.7085201793721974
124,2.8399345248434624,0.7085201793721974
122,2.8153516248063237,0.7085201793721974
110,1.5827328583680609,0.7085201793721974
58,0.8074203782961049,0.7085201793721974
24,0.7451606346797858,0.7085201793721974
132,3.5998046080105457,0.7085201793721974
130,3.2760779764526573,0.7085201793721974
71,0.8311828805093081,0.7040358744394619
55,0.800253296940131,0.7040358744394619
85,0.8536154353888702,0.7040358744394619
129,3.224550564787193,0.7040358744394619
131,3.555176628590469,0.7040358744394619
91,0.8722519949778971,0.7040358744394619
19,0.711870956338381,0.7040358744394619
127,2.9515866386422096,0.7040358744394619
125,2.8432554442873053,0.7040358744394619
11,0.6838141292214911,0.7040358744394619
49,0.7932761286088074,0.7040358744394619
73,0.8355808983867942,0.7040358744394619
35,0.769442808765061,0.7040358744394619
9,0.6789263998523046,0.7040358744394619
53,0.7994236675754647,0.7040358744394619
133,3.786502762725303,0.7040358744394619
27,0.7493269727518482,0.7040358744394619
29,0.7537363032167574,0.7040358744394619
31,0.7554281321505015,0.7040358744394619
109,1.5820107752461539,0.7040358744394619
33,0.7650200181560856,0.7040358744394619
89,0.8661033560371514,0.7040358744394619
88,0.8575920784027825,0.6995515695067265
10,0.6796462883029141,0.6995515695067265
8,0.659374227022785,0.6995515695067265
126,2.940880915929748,0.6995515695067265
92,0.8737373689726372,0.6995515695067265
134,3.798501623729276,0.6995515695067265
108,1.350452272902162,0.6995515695067265
34,0.7672629593484095,0.6995515695067265
52,0.7984800430691305,0.6995515695067265
36,0.7708854982188605,0.6995515695067265
32,0.7640218266013835,0.6995515695067265
30,0.7548791687665513,0.6995515695067265
28,0.7535018677761485,0.6995515695067265
54,0.8000446055881901,0.6995515695067265
50,0.7937483685314549,0.6995515695067265
86,0.854199371036972,0.6995515695067265
48,0.7915116119867811,0.6995515695067265
44,0.7893366765493828,0.6995515695067265
128,3.022374145480001,0.6995515695067265
39,0.7751064082277476,0.695067264573991
3,0.6189997241139304,0.695067264573991
135,3.8008380834956736,0.695067264573991
37,0.7720493538585298,0.695067264573991
45,0.7897342438976886,0.695067264573991
107,1.3472185999556516,0.695067264573991
93,0.8774434034930358,0.695067264573991
105,1.2894066941746685,0.695067264573991
7,0.6468249081315733,0.695067264573991
43,0.7820673173179596,0.695067264573991
1,0.6034028217693391,0.695067264573991
51,0.7948397746908347,0.695067264573991
47,0.7913357527114526,0.695067264573991
87,0.8555844661134839,0.695067264573991
136,3.804570711139636,0.6905829596412556
0,0.5997300456540372,0.6905829596412556
106,1.306068239484207,0.6905829596412556
104,1.2738896103445934,0.6905829596412556
2,0.6067774393804896,0.6905829596412556
4,0.6219937704322406,0.6905829596412556
6,0.6405717388332363,0.6905829596412556
38,0.7729944309754125,0.6905829596412556
40,0.7753980385887291,0.6905829596412556
42,0.7781348429182616,0.6905829596412556
46,0.7909463547763168,0.6905829596412556
94,0.8785654639618723,0.6905829596412556
98,0.9333042424078911,0.6905829596412556
100,0.9725157263284131,0.6905829596412556
95,0.8929577014308868,0.6860986547085202
97,0.9059509283238388,0.6860986547085202
41,0.7754448227933884,0.6860986547085202
99,0.9698905563855247,0.6860986547085202
101,0.9943545922268331,0.6860986547085202
5,0.639197501195681,0.6860986547085202
103,1.0687706056215756,0.6860986547085202
137,3.8064370287502327,0.6860986547085202
96,0.8930447766249279,0.6816143497757847
102,1.0413774196184773,0.6816143497757847
