,threshold,accuracy
1,1.1502917469591207,0.9506172839506173
0,0.6400797881367376,0.9444444444444444
2,1.2295491298268466,0.9444444444444444
3,1.2688465351462297,0.9382716049382716
11,1.5389220077625654,0.9382716049382716
4,1.3839165026554887,0.9320987654320988
12,1.577627878261348,0.9320987654320988
10,1.5000552762268389,0.9320987654320988
9,1.460264384622641,0.9259259259259259
13,1.5779576829504183,0.9259259259259259
5,1.4240911047840228,0.9259259259259259
8,1.4583521017357255,0.9197530864197531
6,1.4241566999557582,0.9197530864197531
14,1.5783171731248122,0.9197530864197531
15,1.5783379863918847,0.9135802469135802
7,1.4245840477756981,0.9135802469135802
16,1.5784454607435765,0.9074074074074074
17,1.5786414149991157,0.9012345679012346
19,1.6175662998288267,0.9012345679012346
20,1.7767275286141473,0.8950617283950617
18,1.5829345610022973,0.8950617283950617
21,1.776825881350903,0.8888888888888888
22,1.778433364542933,0.8827160493827161
23,1.7788860969646465,0.8765432098765432
24,1.7788982492284158,0.8703703703703703
25,1.7789575180393897,0.8641975308641975
26,1.7813187461904774,0.8580246913580247
29,1.7835784514968755,0.8518518518518519
27,1.7826199296705578,0.8518518518518519
28,1.7834619359942834,0.845679012345679
30,1.816936620112532,0.845679012345679
31,1.8171515429354619,0.8395061728395061
32,1.8172055948136392,0.8333333333333334
33,1.8559747061036578,0.8271604938271605
34,1.8603594327788227,0.8209876543209876
35,1.8607045293128492,0.8148148148148148
37,1.8612866241623376,0.8148148148148148
36,1.8611754516932837,0.808641975308642
38,1.870957461919582,0.808641975308642
39,1.8713812462523725,0.8024691358024691
40,1.8719446105778668,0.7962962962962963
41,1.872051441336364,0.7901234567901234
42,1.8721583252343041,0.7839506172839507
43,1.8722652295175777,0.7777777777777778
44,1.872479057382777,0.7716049382716049
45,1.8966948453625707,0.7654320987654321
46,1.897456893165208,0.7592592592592593
47,1.8980586239481365,0.7530864197530864
48,1.8991086911556883,0.7469135802469136
49,1.8994184757449404,0.7407407407407407
50,1.9005518462839965,0.7345679012345679
51,1.9007266342933535,0.7283950617283951
52,1.9014385713480013,0.7222222222222222
53,1.9023293970909203,0.7160493827160493
54,1.902711200093661,0.7098765432098766
55,1.9033209826700317,0.7037037037037037
56,1.9041369732386435,0.6975308641975309
57,1.9047703158476577,0.691358024691358
58,1.9052850951301668,0.6851851851851852
