,threshold,accuracy
197,1.6678626256814746,0.6902654867256637
195,1.2797348187882345,0.6902654867256637
199,1.8022875131178373,0.6902654867256637
194,1.1179252593893931,0.6858407079646017
196,1.6058396243411066,0.6858407079646017
198,1.7673375141520176,0.6858407079646017
200,1.8248898240472795,0.6858407079646017
193,1.059088368655491,0.6814159292035398
201,1.8571462028787113,0.6814159292035398
192,1.0536012883809822,0.6769911504424779
202,1.925920416548235,0.6769911504424779
204,2.0400803455642174,0.6769911504424779
206,2.1466565540387914,0.6769911504424779
207,2.1634854743122904,0.672566371681416
191,1.0457977844133872,0.672566371681416
205,2.090304215023256,0.672566371681416
203,2.0306811312651356,0.672566371681416
209,2.2218609023576734,0.672566371681416
208,2.189119103957619,0.668141592920354
210,2.308317181189821,0.668141592920354
190,1.0344791656767351,0.668141592920354
217,2.7007923619224723,0.6637168141592921
211,2.4106790285295734,0.6637168141592921
189,1.0317999813895513,0.6637168141592921
215,2.592159514240013,0.6637168141592921
188,1.028276663023272,0.6592920353982301
218,2.9396294944631522,0.6592920353982301
216,2.670559332194276,0.6592920353982301
214,2.5805690534510073,0.6592920353982301
212,2.414962396180109,0.6592920353982301
219,2.9411324610368768,0.6548672566371682
213,2.4569223212569797,0.6548672566371682
187,1.027369453100068,0.6548672566371682
220,2.9520053758888767,0.6504424778761062
186,1.0267508206255977,0.6504424778761062
184,1.0247745133956794,0.6504424778761062
221,2.9538871379647516,0.6460176991150443
185,1.0255975371473387,0.6460176991150443
183,1.0240861276589426,0.6460176991150443
222,2.9595324241923766,0.6415929203539823
182,1.0235083459895225,0.6415929203539823
181,1.0224982173589816,0.6371681415929203
223,2.961414186268251,0.6371681415929203
180,1.0201732153931218,0.6327433628318584
178,1.0176321027061452,0.6327433628318584
179,1.018035503606038,0.6283185840707964
177,1.0164184901507112,0.6283185840707964
176,1.0157899628058653,0.6238938053097345
175,1.0144391959875585,0.6194690265486725
174,1.0135657044026598,0.6150442477876106
173,1.0101730912258953,0.6106194690265486
172,1.006003506373153,0.6061946902654868
171,1.0048219521356727,0.6017699115044248
170,1.003472226462757,0.5973451327433629
169,1.0024348173101307,0.5929203539823009
168,1.0015464342036735,0.588495575221239
167,1.0001471298334217,0.584070796460177
166,0.9984423900395624,0.5796460176991151
165,0.9928815013556932,0.5752212389380531
164,0.9911683963037586,0.5707964601769911
163,0.9908204787967855,0.5663716814159292
162,0.9872911265563341,0.5619469026548672
161,0.9856754891497632,0.5575221238938053
160,0.9820469400655316,0.5530973451327433
159,0.9819759826276933,0.5486725663716814
158,0.9817168339309419,0.5442477876106194
157,0.9809341201362181,0.5398230088495575
156,0.9797895009608997,0.5353982300884956
155,0.9790331815658798,0.5309734513274337
154,0.9784421851460805,0.5265486725663717
153,0.9770862645092109,0.5221238938053098
152,0.976481157824966,0.5176991150442478
151,0.976272170216455,0.5132743362831859
150,0.9687608466320445,0.5088495575221239
148,0.9677047865862669,0.5088495575221239
149,0.9686294384868628,0.504424778761062
147,0.9656597499032932,0.504424778761062
146,0.9596960661863754,0.5
145,0.9587976593855005,0.49557522123893805
143,0.9521942373703218,0.49557522123893805
142,0.9521525922245773,0.4911504424778761
144,0.958615874131034,0.4911504424778761
141,0.9521416378906791,0.48672566371681414
140,0.9503694339493695,0.4823008849557522
139,0.9502028790118855,0.4778761061946903
138,0.9493466365807139,0.47345132743362833
136,0.9440941321098564,0.47345132743362833
137,0.9461311360784744,0.4690265486725664
135,0.9436141500799895,0.4690265486725664
134,0.942973214679473,0.4646017699115044
133,0.934800994733929,0.46017699115044247
132,0.9318088419870899,0.4557522123893805
129,0.9280515760907345,0.45132743362831856
131,0.9293521132418862,0.45132743362831856
128,0.9259014430013288,0.4469026548672566
130,0.9283972375996163,0.4469026548672566
127,0.9238296637544756,0.4424778761061947
126,0.9175969115937418,0.43805309734513276
125,0.9168797546403855,0.4336283185840708
124,0.9147743025172084,0.42920353982300885
123,0.9142680699464605,0.4247787610619469
122,0.907329270368671,0.42035398230088494
121,0.901721549259161,0.415929203539823
120,0.8986128142732518,0.41150442477876104
119,0.8935009980420121,0.40707964601769914
118,0.8912001457742402,0.4026548672566372
117,0.8905948980248651,0.39823008849557523
116,0.8836670947396199,0.3938053097345133
114,0.8753078989443152,0.3938053097345133
115,0.8753309734680711,0.3893805309734513
113,0.8735041306769786,0.3893805309734513
112,0.8730171935243015,0.38495575221238937
109,0.8641753883309556,0.3805309734513274
111,0.8725211174700752,0.3805309734513274
110,0.8649700086453608,0.37610619469026546
108,0.8632283074114069,0.37610619469026546
