,threshold,accuracy
116,53818.91335737706,0.7151162790697675
158,95648.84652676372,0.7151162790697675
160,96646.79659198175,0.7151162790697675
115,53801.30813934347,0.7093023255813954
161,97048.34491155668,0.7093023255813954
117,53823.46890786295,0.7093023255813954
99,44860.37100401933,0.7093023255813954
123,54086.29401539153,0.7093023255813954
157,95322.32233132106,0.7093023255813954
159,96420.50730813273,0.7093023255813954
121,54008.63615249805,0.7093023255813954
163,98058.4385869184,0.7093023255813954
103,47475.64123294579,0.7093023255813954
107,52540.55212596602,0.7093023255813954
162,97062.47128998605,0.7034883720930233
120,53987.235569430384,0.7034883720930233
100,45480.081621406614,0.7034883720930233
104,48873.32941902966,0.7034883720930233
118,53898.236916066686,0.7034883720930233
106,50051.416492716664,0.7034883720930233
108,53114.318460340925,0.7034883720930233
98,44745.615586466854,0.7034883720930233
136,56204.68732350828,0.7034883720930233
114,53784.69784048001,0.7034883720930233
124,54102.74906246546,0.7034883720930233
122,54044.777284823285,0.7034883720930233
102,47173.90289060313,0.7034883720930233
164,98376.91164400692,0.7034883720930233
156,95018.41140748914,0.7034883720930233
137,56348.62774647105,0.6976744186046512
135,55982.35402806592,0.6976744186046512
125,54121.978393164034,0.6976744186046512
101,46689.92326685467,0.6976744186046512
105,49594.3686454092,0.6976744186046512
119,53980.29080202302,0.6976744186046512
97,44744.61089456586,0.6976744186046512
127,54263.999867612794,0.6976744186046512
113,53783.72565049864,0.6976744186046512
155,91586.03696132405,0.6976744186046512
165,98497.40999058115,0.6976744186046512
109,53129.7595278177,0.6976744186046512
167,1479628.4570507868,0.6976744186046512
112,53747.75955486515,0.6918604651162791
110,53134.79431071046,0.6918604651162791
126,54185.24063087975,0.6918604651162791
138,58686.995439224156,0.6918604651162791
128,54281.479891620496,0.6918604651162791
144,68755.55664112858,0.6918604651162791
168,2397705.130755831,0.6918604651162791
166,329022.12570913235,0.6918604651162791
154,91512.12260541398,0.6918604651162791
96,44744.36659837895,0.6918604651162791
140,62900.894934086966,0.6918604651162791
134,55210.109528637186,0.6918604651162791
141,62991.93558214778,0.686046511627907
143,67986.44209547921,0.686046511627907
145,71167.50774009961,0.686046511627907
147,77635.54490597788,0.686046511627907
129,54505.00794526644,0.686046511627907
151,89122.58936195914,0.686046511627907
95,44744.22435410001,0.686046511627907
153,91493.71226391647,0.686046511627907
111,53150.72054450725,0.686046511627907
139,61096.42761732953,0.686046511627907
133,54931.45223891074,0.686046511627907
169,78307689.83689539,0.686046511627907
171,8962822590.239689,0.686046511627907
94,44744.03793478513,0.6802325581395349
130,54555.795044205974,0.6802325581395349
132,54929.79826377394,0.6802325581395349
142,63641.19429530844,0.6802325581395349
146,72356.93954095263,0.6802325581395349
148,82225.42508047442,0.6802325581395349
150,88299.15242865439,0.6802325581395349
152,91311.67020680952,0.6802325581395349
170,359776028.29478616,0.6802325581395349
131,54909.358374317446,0.6744186046511628
149,83361.7144698668,0.6744186046511628
93,44743.748332242256,0.6744186046511628
92,44743.47718605651,0.6686046511627907
91,44743.29482715768,0.6627906976744186
90,44743.19514795599,0.6569767441860465
89,44743.07907043917,0.6511627906976745
88,44743.06342090756,0.6453488372093024
87,44742.87724852964,0.6395348837209303
86,44742.835686499675,0.6337209302325582
85,44742.7305940218,0.627906976744186
84,44742.61702215708,0.622093023255814
83,44742.581500604785,0.6162790697674418
82,44742.549964371174,0.6104651162790697
81,44742.49415273344,0.6046511627906976
80,44742.483323571425,0.5988372093023255
79,44742.43822003891,0.5930232558139535
78,44742.405222611524,0.5872093023255814
