,DatasetName,Step,Threshold,Accuracy,Bruteforce time
0,1423EFD,2,0.8447033928247801,0.9774011299435028,0.0426008701324462
0,1423EFD,3,0.6759359631496337,0.9661016949152542,0.0229315757751464
0,1423EFD,4,0.619132741707467,0.9491525423728814,0.0236718654632568
0,1423EFD,5,1.1021699784940993,0.9375,0.024421215057373
0,1423EFD,6,1.178696816475447,0.9204545454545454,0.0479981899261474
0,1423EFD,10,1.0749996402024689,0.92,0.0287673473358154
0,1423EFD,7,0.6183868482969581,0.9090909090909092,0.0256192684173584
0,1423EFD,11,1.0884263842353037,0.9028571428571428,0.0284862518310546
0,1423EFD,8,0.6248922481196592,0.8977272727272727,0.0264351367950439
0,1423EFD,12,0.6201103770287909,0.88,0.0295307636260986
0,1423EFD,17,1.2810113403162144,0.8793103448275862,0.036435842514038
0,1423EFD,9,1.211886707763877,0.8636363636363636,0.0268957614898681
0,1423EFD,13,0.6242652263341701,0.8628571428571429,0.027545690536499
0,1423EFD,42,2.01406841500048,0.8520710059171598,0.0167798995971679
0,1423EFD,18,1.1922614312620403,0.8390804597701149,0.0288367271423339
0,1423EFD,29,0.6870381586765804,0.8372093023255814,0.0409967899322509
0,1423EFD,50,1.1887586463649191,0.8323353293413174,0.0259904861450195
0,1423EFD,14,1.3243113496070078,0.8285714285714286,0.029271125793457
0,1423EFD,26,0.824843628661433,0.8255813953488372,0.0217735767364501
0,1423EFD,19,1.3429084185909004,0.8218390804597702,0.0273225307464599
0,1423EFD,39,0.9652895973500606,0.8176470588235294,0.0256004333496093
0,1423EFD,35,0.9926871300475034,0.8176470588235294,0.0315687656402587
0,1423EFD,22,2.1006279511521218,0.815028901734104,0.0144770145416259
0,1423EFD,23,1.1018924383178428,0.815028901734104,0.0286319255828857
0,1423EFD,21,0.6151339594769665,0.8092485549132948,0.0288548469543457
0,1423EFD,33,1.122263510519137,0.8070175438596491,0.0237305164337158
0,1423EFD,37,2.710048647357076,0.8058823529411765,0.0205934047698974
0,1423EFD,34,1.323949662559487,0.8011695906432749,0.0185139179229736
0,1423EFD,15,0.4845268506994043,0.7988505747126436,0.0533909797668457
0,1423EFD,70,1.513466457833994,0.7975460122699386,0.0211174488067626
0,1423EFD,36,1.2791421609915854,0.7941176470588235,0.0362446308135986
0,1423EFD,38,0.6197625337261631,0.7941176470588235,0.0218691825866699
0,1423EFD,16,0.7416332750594847,0.7931034482758621,0.0275850296020507
0,1423EFD,20,1.8192574381511843,0.791907514450867,0.0283153057098388
0,1423EFD,24,1.2270842016675352,0.791907514450867,0.0283846855163574
0,1423EFD,47,3.0554590130713977,0.7916666666666666,0.0211617946624755
0,1423EFD,25,38315.86178256943,0.7906976744186046,0.0291390419006347
0,1423EFD,51,0.9664647388602688,0.7784431137724551,0.0250630378723144
0,1423EFD,27,1.3260696182752894,0.7732558139534884,0.0351672172546386
0,1423EFD,31,1.393150829824067,0.7719298245614035,0.0251054763793945
0,1423EFD,65,1.0505989048514763,0.7560975609756098,0.0453078746795654
0,1423EFD,28,53818.91335737706,0.7151162790697675,0.0282654762268066
0,1423EFD,32,2.568042719176243,0.6783625730994152,0.0256869792938232
0,1423EFD,40,5.632526515991023,0.6568047337278107,0.0497119426727294
0,1423EFD,55,2.6710635296864926,0.6325301204819277,0.0270144939422607
