,threshold,accuracy
43,11.813413136142747,0.8131868131868132
41,10.783690728449074,0.8131868131868132
39,5.004082095925754,0.8131868131868132
44,27.12624427879946,0.8021978021978022
42,10.980824285979443,0.8021978021978022
40,9.60179218037281,0.8021978021978022
38,5.003609393208541,0.8021978021978022
34,3.965034407672541,0.8021978021978022
36,4.22646259885019,0.8021978021978022
31,3.5133933570407185,0.7912087912087912
35,4.187090281124205,0.7912087912087912
27,2.856208035963076,0.7912087912087912
33,3.825354408688774,0.7912087912087912
15,1.7609725489530461,0.7912087912087912
11,1.258308752302326,0.7912087912087912
37,4.847931210389558,0.7912087912087912
45,27.840464017669802,0.7912087912087912
24,2.6645044757132226,0.7802197802197802
32,3.7434334525933446,0.7802197802197802
30,3.3431295428322274,0.7802197802197802
46,44.3179473231507,0.7802197802197802
26,2.7188183748678862,0.7802197802197802
28,3.1964579647300235,0.7802197802197802
10,1.258113843486384,0.7802197802197802
12,1.5523649381435956,0.7802197802197802
14,1.6644948388355207,0.7802197802197802
16,1.8842008859862753,0.7802197802197802
23,2.5093034073211724,0.7692307692307693
17,2.0516926427087756,0.7692307692307693
47,62.53177985459482,0.7692307692307693
13,1.62899884940745,0.7692307692307693
9,1.2201710317231076,0.7692307692307693
29,3.230324771509356,0.7692307692307693
21,2.3431372646386612,0.7692307692307693
25,2.7128235976925614,0.7692307692307693
18,2.1883551952410594,0.7582417582417582
48,1337.875547744685,0.7582417582417582
20,2.2385624798375034,0.7582417582417582
22,2.4859885289333925,0.7582417582417582
8,1.18344812478559,0.7582417582417582
19,2.2126613487627482,0.7472527472527473
7,1.1340810920726052,0.7472527472527473
49,3093.6945063614744,0.7472527472527473
6,1.0821622724004085,0.7362637362637363
50,4150.182623717026,0.7362637362637363
5,0.971736447195111,0.7252747252747253
51,12405.140909837859,0.7252747252747253
52,13893.902632015976,0.7142857142857143
4,0.9590961307604563,0.7142857142857143
3,0.8517934761454667,0.7032967032967034
53,22342.008110240116,0.7032967032967034
2,0.37845534541613707,0.6923076923076923
54,65605.96920554093,0.6923076923076923
1,0.2702876967176981,0.6813186813186813
55,69339.2926043854,0.6813186813186813
56,107590.38833432009,0.6703296703296703
0,0.24784537174181023,0.6703296703296703
57,152307.69121179325,0.6593406593406593
58,204675.9535093609,0.6483516483516484
59,205692.77984703667,0.6373626373626373
61,252809.46134067766,0.6373626373626373
60,226830.8016530634,0.6263736263736264
